epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2983,1.07763,2.96393,1.3436,0.83004,0.84111,0.93529,0.72638,0.85078,1.04249,1.2543,0.000221634,0.000221634,0.000221634
2,125.292,1.02206,1.64318,1.25435,0.85719,0.8858,0.96215,0.72823,0.91374,0.95441,1.26435,0.000439572,0.000439572,0.000439572
3,182.49,0.99565,1.28842,1.22469,0.83827,0.85,0.94565,0.74964,0.79748,0.82984,1.19879,0.000653108,0.000653108,0.000653108
4,241.743,0.99083,1.07917,1.21685,0.93126,0.91587,0.98419,0.77393,0.82365,0.69752,1.2217,0.00064719,0.00064719,0.00064719
5,300.384,0.94805,0.91003,1.19376,0.97237,0.91894,0.98294,0.77374,0.81029,0.61509,1.20619,0.000640587,0.000640587,0.000640587
6,357.052,0.91666,0.82203,1.1727,0.94211,0.96314,0.98572,0.77685,0.84334,0.49491,1.20425,0.000633983,0.000633983,0.000633983
7,413.736,0.92197,0.76332,1.17204,0.93672,0.93478,0.96791,0.78208,0.79454,0.49976,1.18969,0.00062738,0.00062738,0.00062738
8,470.301,0.90299,0.73011,1.16314,0.95422,0.92177,0.97757,0.78813,0.80594,0.5156,1.1777,0.000620777,0.000620777,0.000620777
9,530.2,0.88515,0.68682,1.15194,0.97098,0.96414,0.98208,0.78715,0.81315,0.44166,1.19359,0.000614174,0.000614174,0.000614174
10,588.589,0.86728,0.66969,1.14669,0.94345,0.9651,0.98913,0.78888,0.82792,0.44689,1.18856,0.00060757,0.00060757,0.00060757
11,645.606,0.88238,0.63893,1.14718,0.94906,0.96005,0.98259,0.77258,0.81282,0.45463,1.19856,0.000600967,0.000600967,0.000600967
12,702.571,0.86295,0.62156,1.14083,0.95431,0.96559,0.97961,0.78479,0.82628,0.43164,1.17873,0.000594364,0.000594364,0.000594364
13,759.595,0.84987,0.62037,1.13324,0.95116,0.92721,0.96774,0.78968,0.76626,0.48639,1.15862,0.00058776,0.00058776,0.00058776
14,819.501,0.84385,0.59011,1.13298,0.96535,0.9699,0.98668,0.78829,0.79691,0.39976,1.17513,0.000581157,0.000581157,0.000581157
15,878.852,0.82375,0.56574,1.11267,0.96588,0.98308,0.98479,0.79723,0.79032,0.38458,1.18188,0.000574554,0.000574554,0.000574554
